,ner_id,link,name,orcid,affiliation
0,2,profile/Zhaohao-Sun,Zhaohao Sun,,"The Papua New Guinea University of Technology Lae, Papua New Guinea; The Papua New Guinea University of Technology Lae, Papua New Guinea; The Papua New Guinea University of Technology Lae, Papua New Guinea; The Papua New Guinea University of Technology | PNG Unitech"
1,4,profile/Farzana-Mir,Farzana Asad Mir,,"British University in Dubai Dubai, United Arab Emirates; British University in Dubai Dubai, United Arab Emirates; British University in Dubai"
2,6,profile/Sumit-Jadhav-5,Sumit Jadhav,,Vivekanand Education Society's Institute of Technology
3,12,profile/Sid-Terason,Sid TERASON,,Kasetsart University | KU
4,17,profile/Zhipeng-Ma-10,Zhipeng Michael Ma,,University of Southern Denmark | SDU
5,18,profile/Bo-Jorgensen-5,Bo Nørregaard Jørgensen,,"University of Southern Denmark Kolding, Denmark; University of Southern Denmark | SDU"
6,21,profile/Uemit-Demirbaga,Ümit Demirbaga,,"Logoİzmit, Turkey; European Molecular Biology Laboratory-European Bioinformatics Institute (EMBL-EBI)Cambridge, United Kingdom; Bartin University"
7,22,profile/Gagangeet-Aujla,Gagangeet Singh Aujla,,"Chandigarh University India; Newcastle University Newcastle upon Tyne, United Kingdom; Durham University Durham, United Kingdom; Durham University | DU"
8,23,profile/Anish-Jindal-2,Anish Jindal,,"Lancaster University Lancaster, United Kingdom; University of Essex Colchester, United Kingdom; Durham University | DU"
9,24,profile/Oguzhan-Kalyon,Oguzhan Kalyon,,Newcastle University | NCL
10,30,profile/Davide-Tosi,Davide Tosi,,"Università degli Studi dell'Insubria Varese, Italy; Università degli Studi dell'Insubria | UNINSUBRIA"
11,31,profile/Marco-Roccetti,Marco Roccetti,,"International Computer Science Institute Berkeley, United States; University of California, Los Angeles Los Angeles, United States; University of Bologna | UNIBO"
12,34,profile/Fedia-Ghedass,Fedia Ghedass,,
13,35,profile/Faouzi-Charrada,Faouzi Ben Charrada,,University of Tunis El Manar | FST
14,37,profile/Ranjeet-Kumar-Singh-3,Ranjeet Kumar Singh,,"University of Calcutta Kolkata, India"
15,40,profile/Chandradeep-Bhatt,Chandradeep Bhatt,,"Graphic Era Hill University Dehra Dūn, India; Graphic Era Hill University"
16,45,profile/Jose-Galdon,Jose Luis Galdon,,Universitat Politècnica de València | UPV
17,48,profile/Assefa-Senbeto,Assefa Senbeto,,
18,50,profile/Huadong-Guo-2,Huadong Guo,,Chinese Academy of Sciences | CAS
19,51,profile/Dong-Liang-23,Dong Liang,,"Chinese Academy of Sciences Beijing, China; Chinese Academy of Sciences Beijing, China; Chinese Academy of Sciences Beijing, China"
20,53,profile/Chukwudi-Maha,Chukwudi Cosmos Maha,,Ministry of Health Saudi Arabia | MOH
21,56,profile/Murali-Pasupuleti-2,Murali Krishna Pasupuleti,,
22,60,profile/Diego-Garcia-Gil,Diego García-Gil,,University of Granada | UGR
23,61,profile/Salvador-Garcia-16,Salvador García,,Universidad de Jaén | UJAEN
24,62,profile/N-Xiong,N. Xiong,,Mälardalen University | MDH
25,64,profile/Sebastian-Werner-17,Sebastian Werner,,"Technische Universität Berlin Berlin, Germany; Technische Universität Berlin | TUB"
26,65,profile/Stefan-Tai,Stefan Tai,,"Karlsruhe Institute of TechnologyKarlsruhe, Germany; FZI Forschungszentrum InformatikKarlsruhe, Germany; Technische Universität BerlinGermany; Technische Universität Berlin | TUB"
27,67,profile/Matthew-Willetts-2,Matthew Willetts,,Staffordshire University | SU
28,68,profile/Anthony-Atkins-3,Anthony S. Atkins,,"Staffordshire University Stoke-on-Trent, United Kingdom; Staffordshire University | SU"
29,70,profile/Pushpendu-Kar,Pushpendu Kar,,"National University of Singapore Singapore, Singapore; Norwegian University of Science and Technology Ålesund, Norway; University of Nottingham Ningbo China Ningbo, China"
30,71,profile/Monideepa-Roy-2,Monideepa Roy,,KIIT University | KIIT
31,77,profile/Adeola-Adenubi,Adeola Oladele Adenubi,,Caleb University Lagos
32,78,profile/Ayorinde-Oduroye-2,Ayorinde Oduroye,,"Babcock University School of Posgraduate StudiesShagamu, Nigeria; Babcock UniversityShagamu, Nigeria; Caleb University; Caleb University Lagos"
33,79,profile/Adeniyi-Akanni,Adeniyi Akanni,,
34,82,profile/Nicola-Dimitri,Nicola Dimitri,,Università degli Studi di Siena | UNISI
35,84,profile/Aditya-Dev-Mishra,aditya dev Mishra,,"Jamia Millia Islamia New Delhi, India; Jamia Millia Islamia"
36,85,profile/Atul-Srivastava-32,Atul Srivastava,,Amity University | AU
37,89,profile/Wandisa-Nyikana,Wandisa Nyikana,,Cape Peninsula University of Technology | CPUT
38,90,profile/Tiko-Iyamu,Tiko Iyamu,,Cape Peninsula University of Technology | CPUT
39,94,profile/R-Sheeja-2,R. Sheeja,,Easwari Engineering College | EEC
40,95,profile/M-Adimoolam,M. Adimoolam,,
41,97,profile/Ajay-Badhan-2,Ajay Kumar Badhan,,Lovely Professional University | LPU
42,98,profile/Rita-Roy-5,Rita Roy,,GITAM University | GITAM
43,105,profile/Nikolai-Siniak,Nikolai Siniak,,"Belarusian State Technological University Minsk, Belarus; University for Information Science and Technology ""St. Paul the Apostle""; University for Information Science and Technology ""St. Paul the Apostle""Faculty of Machine Intelligence and Robotics"
44,108,profile/Nozima-Akhmedova,Nozima Akhmedova,,Tashkent University of Information Technology | TUIT
45,110,profile/Guillaume-Wunsch,Guillaume Wunsch,,Université Catholique de Louvain - UCLouvain | UCLouvain
46,112,profile/Dishant-Banga,Dishant Banga,,
47,117,profile/David-Mhlanga-2,David Mhlanga,,"Government of Zimbabwe Department of EducationZimbabwe; University of Johannesburg Johannesburg, South Africa; University of Johannesburg | uj"
48,121,profile/Efosa-Idemudia,Efosa Idemudia,,Howard University | HU
49,124,profile/Zidong-Yu,Zidong Yu,,The Hong Kong Polytechnic University | PolyU
50,125,profile/Xintao-Liu-2,Xintao Liu,,The Hong Kong Polytechnic University | PolyU
51,127,profile/Zihad-Hasan-Joy,Zihad Hasan Joy,,"University of South Asia Dhaka, Bangladesh; Texas A&M University - Texarkana | TAMUT"
52,129,profile/Amir-Abbasi-10,Amir Ali Abbasi,,"Philipps University of Marburg Germany; Quaid-i-Azam University Islamabad, Pakistan; Quaid-i-Azam University Pakistan; Quaid-i-Azam University | QAU"
53,130,profile/Jiabao-Cao,Jiabao Cao,,"Beijing Institute of genomics Beijing, China; Chinese Academy of Sciences | CAS"
54,131,profile/Feng-Gao-76,Feng Gao,,"Tianjin University Tianjin, China; Tianjin University | tju"
55,133,profile/Nikolai-Eremin,Nikolai Eremin,,"Russian Academy of Sciences Moscow, Russia; Russian Academy of Sciences | RAS"
56,139,profile/Vahid-Bakhtiary,Vahid Bakhtiary,,Islamic Azad University | IAU
57,142,profile/Marc-Schuilenburg,Marc Schuilenburg,,Erasmus University Rotterdam | EUR
58,143,profile/Melvin_Soudijn2,Melvin R. J. Soudijn,,Dutch National Police
59,149,profile/Yijie-Weng,Yijie Weng,,"University of Maryland, College Park | UMD, UMCP, University of Maryland College Park"
60,151,profile/Rahul-Waghamare-2,Rahul Waghamare,,
61,154,profile/Xiutong-Xu,Xiutong Xu,,Nanjing Forestry University
62,157,profile/Rajesh-Remala,Rajesh Remala,,
63,158,profile/Divya-Marupaka-2,Divya Marupaka,,
64,159,profile/Krishnamurty-Raju-Mudunuru,Krishnamurty Raju Mudunuru,,
65,162,profile/Abdul-Sajid-Mohammed,Abdul Sajid Mohammed,,University of the Cumberlands
66,164,profile/Manikanta-Tadi,Manikanta Reddy Tadi,,WOXSEN
67,165,profile/Koushik-Reddy-Patlolla,Koushik Reddy Patlolla,,WOXSEN
68,166,profile/Poojitha-Gattu,Poojitha Gattu,,WOXSEN
69,167,profile/Mohd-Azhar-5,Mohd Azhar,,"Aligarh Muslim University Alīgarh, India"
70,170,profile/Chandrakala-m,Chandrakala .M,,Kristu Jayanti College
71,176,profile/Narasimha-Vajjhala,Narasimha Rao Vajjhala,,"American University of Nigeria Yola, Nigeria; University of New York Tirana Tirana, Albania; American University of Nigeria Yola, Nigeria; University of New York Tirana"
72,177,profile/Kenneth_David_Strang,Kenneth David Strang,,"Multinations Sydney, Australia; W3-Research Charlotte Amalie, U.S. Virgin Islands; IGI Global Hershey, United States"
73,181,profile/Fatna-Elmendili,Fatna Elmendili,,Université Moulay Ismail | UMI
74,182,profile/Mohammed-Fattah,Mohammed Fattah,,Université Moulay Ismail | UMI
75,185,profile/Kanchan-Naithani,Kanchan Naithani,,"Govind Ballabh Pant Engineering College Pauri, India; Galgotias University"
76,187,profile/Atefeh-Hemmati-2,Atefeh Hemmati,,Islamic Azad University Tehran Science and Research Branch | SRBIAU
77,188,profile/Amir-Rahmani-3,Amir Masoud Rahmani,,"Islamic Azad University Tehran Science and Research Branch Tehran, Iran; Islamic Azad University Tehran, Iran; Islamic Azad University Tehran Science and Research BranchTehran, Iran; National Yunlin University of Science and Technology"
78,195,profile/Serhii-Lehenchuk,Serhii Lehenchuk,,"Zhytomyr State Technological University Zhytomyr, Ukraine"
79,196,profile/Tetiana-Zavalii-2,Tetiana Zavalii,,Zhytomyr State Technological University
80,203,profile/Steven-Daka,Steven Daka,,
81,206,profile/Naresh-Kumar-Miryala,Naresh Kumar Miryala,,Meta
82,207,profile/Divit-Gupta,Divit Gupta,,"HCL Noida, India; IBM Raleigh, United States; Oracle Corporation"
83,209,profile/Sang-Hyuk-Kim-3,Sang Hyuk Kim,,
84,213,profile/Majeed-Mohammed-4,Majeed Mohammed,,
85,214,profile/Abdul-Mumin-Khalid,Abdul-Mumin Khalid,,
86,215,profile/Jonas-Yomboi-2,Jonas Yomboi,,
87,217,profile/Kaushal-Kishor-4,Kaushal Kishor,,ABES Institute of Technology
88,219,profile/Raj-Verma-23,Raj KISHOR Verma,,"ABES Institute of Technology Ghāziābād, India; ABES Institute of Technology"
89,221,profile/Khatera-Akrami,Khatera Akrami,,
90,222,profile/Mursal-Akrami,Mursal Akrami,,
91,223,profile/Fazila-Akrami,Fazila Akrami,,
92,224,profile/Musawer-Hakimi,Musawer Hakimi,,
93,228,profile/Chibuike-Uzoagba,Chibuike Israel Uzoagba,,
94,231,profile/Emre-Yasar-4,Emre Yaşar,,Isparta University of Applied Sciences
95,232,profile/Mahmut-Demir-3,Mahmut Demir,,"Mugla ÜniversitesiMuğla, Turkey; T.C. Süleyman Demirel ÜniversitesiIsparta, Turkey; Isparta University of Applied Sciences Turkey; Isparta University of Applied Sciences"
96,234,profile/Thamir-Alaskar,Thamir Alaskar,,Imam Muhammad bin Saud Islamic University
97,235,profile/Amin-Alsadi,Amin K Alsadi,,Imam Muhammad bin Saud Islamic University
98,236,profile/Wassim-J-Aloulou,Wassim J. ALOULOU,,"College of Economics and Administrative SciencesBusiness Administration; Saudi Entrepreneurship Association; Imam Muhammad bin Saud Islamic University Riyadh, Saudi Arabia"
99,237,profile/Faouzi-Ayadi,Faouzi Ayadi,,
100,241,profile/Ehizogie-Adeghe-2,Ehizogie Paul Adeghe,,Kane County Health Department United States
101,244,profile/Patricia-Sanchez-Holgado,Patricia Sanchez-Holgado,,Universidad de Salamanca
102,245,profile/Carlos-Arcila-Calderon,Carlos Arcila Calderón,,Universidad del Rosario (Colombia)Escuela de Ciencaias Humanas; Universidad de Salamanca
103,257,profile/Faten-Louati,Faten Louati,,Faculté des Sciences Économiques et de Gestion de Sfax | FSEG
104,258,profile/Farah-Ktata,Farah BARIKA Ktata,,
105,259,profile/Ikram-Amous-2,Ikram Amous,,"Paul Sabatier University - Toulouse IIIToulouse, France; University of Sfax Sfax, Tunisia"
106,261,profile/Dimitris-Karlis,Dimitris Karlis,,"Athens University of Economics and Business Athens, Greece; Athens University of Economics and Business | AUEB"
107,262,profile/Vasilis-Chasiotis-3,Vasilis Chasiotis,,"University of Western Macedonia Kozáni, Greece; University of Western Macedonia Kozáni, Greece; Athens University of Economics and Business Athens, Greece; Athens University of Economics and Business | AUEB"
108,269,profile/Haripriya-V,Haripriya V,,Jain University
109,275,profile/Doh-Depiction-Of-Health,Doh Depiction of Health,,Tabriz University of Medical Sciences | TBZMED
110,276,profile/Mohammad-Ronaghi-2,Mohammad Hossein Ronaghi,,Shiraz University
111,281,profile/Endluri-Venkata-Naga-Jyothi,Endluri Venkata Naga Jyothi,,PACE Institute of Technology and Science | PACE
112,284,profile/Mani-Zarei,Mani Zarei,,"Islamic Azad University Shahr-e Qods, Iran"
113,289,profile/Sivanagaraju-Gadiparthi,Sivanagaraju Gadiparthi,,Automatic Data Processing | ADP
114,292,profile/Nuno-Galego,Nuno Galego,,Universidade Lusófona | ULHT
115,294,profile/Amal-Alaamer,Amal Alaamer,,Ahlia University
116,295,profile/Rami-Abu-Wadi,Rami Abu wadi,,Ahlia University
117,300,profile/Dragan-Primorac,Dragan Primorac,,Pennsylvania State University | Penn State
118,301,profile/Petar-Brlek,Petar Brlek,,"Croatian Institute for Brain Research Zagreb, Croatia; International Society for Applied Biological Sciences; St. Catherine Specialty Hospital Zagreb, Croatia"
119,302,profile/Vedrana-Skaro,Vedrana Skaro,,Children's Hospital Oakland Research Institute; Children's Hospital Oakland Research Institute; University Hospital Örebro Sweden
120,305,profile/Rajeev-Tripathi-5,Rajeev Tripathi,,"School of Management Sciences, Lucknow"
121,309,profile/Mohd-Amran-Mohd-Daril,Mohd Amran Mohd Daril,,
122,310,profile/Fatima-Fozia,Fatima Fozia,,National University of Medical Sciences | NUMS
123,311,profile/Alhamzah-Abbas,Alhamzah F. Abbas,,Universiti Teknologi Malaysia | UTM
124,314,profile/Marco-Postiglione-2,Marco Postiglione,,University of Naples Federico II | UNINA
125,315,profile/Giancarlo-Sperli-2,Giancarlo Sperlì,,University of Naples Federico II | UNINA
126,318,profile/Rida-Akbar-3,Rida Akbar,,"University of Lahore Lahore, Pakistan; University of Education, Lahore"
127,319,profile/Suhail-Chandio-2,Suhail A. Chandio,,Mehran University of Engineering and Technology
128,323,profile/Anil-Goswami,Anil Goswami,,Indian Institute of Management Kashipur
129,324,profile/Anamika-Sinha-2,Anamika Sinha,,Goa Institute of Management | GIM
130,326,profile/Hung-Tran-Ngoc,Hung Tran Ngoc,,
131,333,profile/Vikash-4,Vikash ..,,Jawaharlal Nehru University | JNU
132,335,profile/Jun-Gao-80,Jun Gao,,"Shanghai Jiao Tong University Shanghai, China; University of London London, United Kingdom; University of Texas at Austin | UT"
133,341,profile/Kaifeng-Duan,Kaifeng Duan,,Fuzhou University
134,343,profile/Rohit-Bansal-9,Rohit Bansal,,"Vaish College of Engineering Rohtak, India; Vaish College of Engineering Rohtak, India; Vaish College of Engineering"
135,344,profile/Shweta-Saini-11,Shweta Saini,,Maharshi Dayanand University | MDU
136,345,profile/Nishita-Pruthi,Nishita Pruthi,,Maharshi Dayanand University | MDU
137,352,profile/Swati-Sharma-199,Swati Sharma,,O.P. Jindal Global University | JGLS
138,354,profile/Dariusz-Prokopowicz,Dariusz Prokopowicz,,"Business Academy Support for Business Otwock, Poland; International Institute of Innovation ""Science - Education - Development"" in Warsaw Warsaw, Poland; University of Warsaw Warsaw, Poland"
139,355,profile/Malgorzata-Such-Pyrgiel,Małgorzata Such-Pyrgiel,,
140,357,profile/Jianli-Hao,Jianli Hao,,Xi'an Jiaotong-Liverpool University
141,364,profile/Hana-Marcetic,Hana Marčetić,,Högskolan i Borås
142,366,profile/Nicolae-Sfetcu,Nicolae Sfetcu,,Romanian Academy
143,368,profile/Maxim-Kalinin,Maxim Kalinin,,Peter the Great St.Petersburg Polytechnic University | SPBSTU
144,369,profile/Poltavtseva-Maria,Poltavtseva Maria,,"Tver State Technical University Tver, Russia; Peter the Great St.Petersburg Polytechnic University Saint Petersburg, Russia; Peter the Great St.Petersburg Polytechnic University Saint Petersburg, Russia; Peter the Great St.Petersburg Polytechnic University | SPBSTU"
145,374,profile/Basit-Ali-27,Basit Ali,,The University of Northampton | UN
146,377,profile/Peter-Simpa,Peter Simpa,,University of Hull
147,378,profile/Darlington-Ekechukwu,Darlington Eze Ekechukwu,,
148,381,profile/Baofeng-Shi,Baofeng Shi,,Dalian University of Technology China; Northwest A & F University China; Northwest A & F University
149,382,profile/Chunguang-Bai,Chunguang Bai,,"Dongbei University of Finance and Economics Dalian, China; University of Electronic Science and Technology of China | UESTC"
150,383,profile/Yizhe-Dong-2,Yizhe Dong,,"Durham University United Kingdom; Aberystwyth University Aberystwyth, United Kingdom; The University of Edinburgh | UoE"
151,385,profile/Md-Shohel-Sayeed,Md Shohel Sayeed,,"Multimedia UniversityKuala Lumpur, Malaysia; Multimedia University | mmu"
152,386,profile/Abu-Fuad-Ahmad,Abu Fuad Ahmad,,
153,387,profile/Choo-Tan-5,Choo Peng Tan,,
154,390,profile/Hrishitva-Patel,Hrishitva Patel,,University of Texas at San Antonio | UTSA
155,392,profile/Jaggannagari-Kavitha,Jaggannagari Kavitha,,Sri Vishnu Educational Society | SVES
156,393,profile/Amit-Tyagi-14,Amit Tyagi,,Pondicherry Engineering College
157,395,profile/Thomas-Setiabudi-Aden,Thomas Setiabudi Aden,,Public Works State Polytechnique IndonesiaIndonesia; The MInistry of Public Works and HousingIndonesia
158,396,profile/Hera-Widyastuti,Hera Widyastuti,,Institut Teknologi Sepuluh Nopember | ITS
159,399,profile/Michael-Kim-27,Michael Dokyum Kim,,State University of New York at New Paltz | SUNY New Paltz
160,402,profile/Iris-Reychav,Iris Reychav,,"Ariel University in Collaboration with Luceren on CRM ,Global Management in virtual organization Israel; Ariel University Israel; Ariel University Israel"
161,403,profile/R-Mchaney,R. W. McHaney,,University of Arkansas; Kansas State UniversityCollege of Business Administration; Auckland University of TechnologyDepartment of Business information systems; Kansas State University | KSU
162,411,profile/V-Bekkers,V. J. J. M. Bekkers,,Erasmus University Rotterdam | EUR
163,413,profile/Hameedat-Olodo,Hameedat Olodo,,Al-Hikmah University
164,418,profile/Abdalmuttaleb-Al-Sartawi,Abdalmuttaleb AL-sartawi,,Ahlia University Bahrain; Inderscience Publishers; Ahlia University Bahrain; Ahlia University
165,423,profile/Parijata-Majumdar,Parijata Majumdar,,
166,430,profile/Intekhab-Alam-6,Intekhab Alam,,"Aligarh Muslim University Alīgarh, India"
167,431,profile/Samreen-Fiza,Samreen Fiza,,"Presidency University, Bangalore"
168,432,profile/Sunil-M-P-2,Sunil M P,,"Jain University Bengaluru, India; Jain University"
169,436,profile/Saurav-Mishra-17,Saurav Kumar Mishra,,University of North Bengal
170,437,profile/Georrge-John-J,Georrge John. J,,"Bentham Science PublishersSharjah, United Arab Emirates; The Royal Society London, United Kingdom; University of North Bengal India; University of North Bengal"
171,441,profile/Surendranadha-Reddy-Byrapu-Reddy,Surendranadha Reddy Byrapu Reddy,,Northeastern University | NEU
172,444,profile/Nitin-Arora-12,Nitin Arora,,Indian Institute of Technology Roorkee | University of Roorkee
173,445,profile/Anupam-Singh-24,Anupam Singh,,"Pranveer Singh Institute of Technology Kanpur, India; University of Petroleum & Energy Studies Dehra Dūn, India; Graphic Era Hill University India"
174,446,profile/Vivek-Shahare-2,Vivek Shahare,,University of Petroleum & Energy Studies | UPES
175,447,profile/Goutam-Datta-3,Goutam Datta,,University of Petroleum & Energy Studies | UPES
176,450,profile/Adedoyin-Oyewole-2,Adedoyin Oyewole,,University of Georgia | UGA
177,451,profile/Chinwe-Okoye,Chinwe Chinazo Okoye,,
178,453,profile/Rania-Mkhinini-Gahar,Rania Mkhinini Gahar,,Higher Institute of Computer Science Tunisia; University of Tunis El Manar | FST
179,454,profile/Olfa-Arfaoui,Olfa Arfaoui,,École Nationale d'Ingénieurs de Tunis | ENIT
180,455,profile/Minyar-Sassi-Hidri,Minyar Sassi Hidri,,"University of Tunis El Manar Tunis, Tunisia; Imam Abdul Rahman bin Faisal UniversityDammam, Saudi Arabia"
181,466,profile/Tarun-Vashishth-2,Tarun Kumar Vashishth,,
182,467,profile/Mr-Vikas-Sharma,Mr. Vikas Sharma,,IIMT Group of Colleges
183,469,profile/Desislava-Ivanova-8,Desislava Ivanova,,"Forschungszentrum Jülich Germany; Cineca Italy; Technical University of Sofia Sofia, Bulgaria; Technical University of Sofia | TU"
184,473,profile/Tiffany-Vance,Tiffany Vance,,San Francisco State University | SFSU
185,474,profile/Kevin-Butler-7,Kevin Butler,,Environmental Systems Research Institute (ESRI) | ESRI
186,477,profile/Mahmudul-Hasan-251,Mahmudul Hasan,,Lamar University
187,478,profile/Md-Mostafizur-Rahman-18,Md Mostafizur Rahman,,Lamar University
188,479,profile/Md-Abdul-Ahad-Maraj,Md Abdul Ahad Maraj,,Lamar University
189,481,profile/Ching-Seng-Yap,Ching Seng Yap,,
190,483,profile/John-Kaiser-Calautit,John Kaiser S. Calautit,,"The University of Sheffield Sheffield, United Kingdom; University of Nottingham Nottingham, United Kingdom; University of Nottingham United Kingdom; University of Nottingham | Notts"
191,488,profile/Antonella-Falanga-2,Antonella Falanga,,"Università degli Studi della Campania ""Luigi Vanvitelli"
192,489,profile/Armando-Carteni,Armando Cartenì,,"University of Naples Federico II Naples, Italy; Università degli Studi della Campania ""Luigi Vanvitelli Caserta, Italy; Università degli Studi della Campania ""Luigi VanvitelliCaserta, Italy; Università degli Studi della Campania ""Luigi Vanvitelli"
193,491,profile/Kannadhasan-Suriyan,Kannadhasan Suriyan,,"Lord Venkateshwara Engineering College India; Tamilnadu Government Polytechnic College India; Cheran College of Engineering, India"
